42493	P 63 m c	Ni S	NiAs	X-ray diffraction measurements on metallic and semiconducting hexagonal Ni S	Trahan, J.;  Goodrich, R.G.;  Watkins, S.F.	Physical Review, Serie 3. B - Solid State (1,1970-17,1977) (1970) 2,  p2859-p2862
42494	P 63 m c	Ni S	NiAs	Pressure-temperature phase diagram and crystal structure of Ni S	McWhan, D.B.;  Marezio, M.;  Remeika, J.P.;  Dernier, P.D.	Physical Review, Serie 3. B - Solid State (1,1970-17,1977) (1972) 5,  p2552-p2555
42541	P 63/m m c	Co Se	NiAs	Uebergangsmetall-Chalkogensystem, 1. Mitt.: Das System Kobalt-Selen	Komarek, K.L.;  Wessely, K.	Monatshefte fuer Chemie (1972) 103,  p896-p906
42547	P 63/m m c	Pt2 Sb Bi	NiAs	Investigation of ternary solid solutions on the basis of superconducting compounds	Zhuravlev, N.N.;  Zhdanov, G.S.;  Smirnov, Yu.M.	Fizika Metallov i Metallovedenie (1962) 13,  p55-p61
42553	P 63/m m c	Pd Te	NiAs	Synthesis, structures, and properties of platinum metal tellurides	Groeneveld Meijer, W.O.J.	American Mineralogist (1955) 40,  p646-p657
42557	P 63/m m c	Ni Te	NiAs	On the system Ni-Se-Te	Rost, E.;  Vestersjoe, E.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1968) 22,  p2118-p2134
42593	P 63/m m c	Pt Sn	NiAs	Phases and phase relations in the system Pd-Pt-Sn	Shelton, K.L.;  Merewether, P.A.;  Skinner, B.J.	Canadian Mineralogist (1981) 19,  p599-p605
42594	P 63/m m c	Pt Sn	NiAs	A study of some palladium-indium, platinum-indium and platinum-tin alloys	Harris, I.R.;  Norman, M.;  Bryant, A.W.	Journal of the Less-Common Metals (1968) 16,  p427-p440
42597	P 63/m m c	Pd Sb	NiAs	On the properties of the Cr1+x Sb, Fe1+x Sb, Co1+x Sb, Ni1+x Sb, Pd1+x Sb, and Pt1+x Sb phases	Kjekshus, A.;  Walseth, K.P.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1969) 23,  p2621-p2630
42598	P 63/m m c	Pd Sb	NiAs	X-ray studies of palladium-cadmium and palladium-antimony alloys	Pratt, J.N.;  Myles, K.M.;  Darby, J.B.jr.;  Mueller, M.H.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1969) 23,  p2621-p2630
43541	P 63/m m c	Mn Te	NiAs	The Mn Te - Ge Te phase diagram	Johnston, W.D.;  Sestrich, D.E.	Atti della Accademia Nazionale dei Lincei, Classe di Fisiche, Matematiche e Naturali, Rendiconti (1961) 30,  p208-p213
43562	P 63/m m c	Ni S0.997	NiAs	X-ray diffraction determination of the homogeneity boundaries and nature of the beta-Ni S phase	Kuznetsov, V.G.;  Eliseev, A.A.	Zhurnal Strukturnoi Khimii (Issue-No. from 1981) (1961) 2,  p578-p584
43593	P 63/m m c	Sc Te	NiAs	Scandium chalcogenides	Men&#39;kov, A.A.;  Komissarova, L.N.;  Simanov, Yu.P;  Spicyn, V.I.	Doklady Akademii Nauk SSSR (1961) 141,  p364-p367
43616	P 63/m m c	Ti0.95 Se	NiAs	X-ray study of titanium selenides	Groenvold, F.;  Langmyhr, F.J.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1961) 15,  p1949-p1962
43654	P 63/m m c	Mn As	NiAs	On the magnetic properties of the compound Mn2 As	Yuzuri, M.;  Yamada, M.	Journal of the Physical Society of Japan (1960) 15,  p1845-p1850
43888	P 63/m m c	Co As	NiAs	On phase transitions between the Mn P and Ni As type structures	Selte, K.;  Kjekshus, A.	Acta Chemica Scandinavica (1-27,1973-42,1988) (1973) 27,  p3195-p3206
43889	P 63/m m c	(Co0.1 Mn0.9) As	NiAs	Magnetic structures and properties of Mn1-t Cot As	Selte, K.;  Kjekshus, A.;  Valde, G.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1976) 30,  p468-p474
43894	P 63/m m c	(Co0.15 Mn0.85) As	NiAs	Magnetic structures and properties of Mn1-t Cot As	Selte, K.;  Kjekshus, A.;  Valde, G.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1976) 30,  p468-p474
43895	P 63/m m c	(Co0.5 Ni0.5) As	NiAs	On the structural and magnetic properties of Co1-t Nit As and Co As1-x Sbx	Fjellvag, H.;  Selte, K.;  Stave, F.E.	Acta Chemica Scandinavica, Series A: (28,1974-) (1984) 38, (9) p687-p691
43912	P 63/m m c	(Mn0.45 Cr0.55) As	NiAs	Structural and magnetic phase diagram for the Mn As-Cr-As system	Fjellvag, H.;  Kjekshus, A.	Acta Chemica Scandinavica, Series A: (28,1974-) (1985) 39,  p671-p680
43915	P 63/m m c	Cr (P0.1 As0.9)	NiAs	Magnetic structures and properties of Cr P1-x Asx	Selte, K.;  Hjersing, H.;  Kjekshus, A.;  Andresen, A.F.;  Fischer, P.	Acta Chemica Scandinavica, Series A: (28,1974-) (1975) 29,  p695-p698
43920	P 63/m m c	Cr (As0.47 Sb0.53)	NiAs	Identification of a high-pressure phase in alloys of the Cr As1-x Sbx system	Buzhinskii, S.A.;  Kamenev, V.I.;  Sibarova, I.A.	Fizika Tverdogo Tela (Leningrad) (= Solid State Physics) (1985) 27,  p318-p319
43924	P 63/m m c	Cr (As0.5 Se0.5)	NiAs	The magnetic properties of Cr As1-x Sex	Kjekshus, A.;  Jamison, W.E.	Acta Chemica Scandinavica, Series A: (28,1974-) (1971) 25,  p1715-p1721
43925	P 63/m m c	(Cr0.43 Ti0.57) As	NiAs	Kristallchemische Untersuchungen an Monophosphiden und -arseniden in den Systemen Ti-(Cr, Mo, W) - (P, As)	Boller, H.;  Nowotny, H.N.	Monatshefte fuer Chemie (1965) 96,  p852-p862
43926	P 63/m m c	(Cr0.9 V0.1) As	NiAs	Kristallchemische Untersuchungen an Monophosphiden und -arseniden in den Systemen Ti-(Cr, Mo, W) - (P, As)	Selte, K.;  Hjersing, H.;  Kjekshus, A.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1975) 29,  p312-p316
43944	P 63/m m c	(Mn0.9 Fe0.1) As	NiAs	On phase transitions between the Mn P and Ni As type structure phases	Selte, K.;  Kjekshus, A.	Acta Chemica Scandinavica, Series A: (28,1974-) (1973) 27,  p3195-p3206
44005	P 63/m m c	Mn2 (As Sb)	NiAs	Effect of high-pressure and high magnetic field on magnetism of Mn As1-x Sbx (0 &lt;= x &lt;= 0.3)	Ido, H.;  Yasuda, S.;  Kido, M.;  Kido, G.;  Miyakawa, T.	Journal de Physique (Paris), Colloque. (1988) 49,  p167-p168
44006	P 63/m m c	Mn (As0.2 Sb0.8)	NiAs	Phase transitions in the Mn As1-x Sbx alloy system	Govor, G.A.;  Baerner, K.;  Schuenemann, J.W.;  Kido, G.;  Miyakawa, T.	Physica Status Solidi A - Applications and Materials (1989) 113,  p403-p420
44007	P 63/m m c	(Mn0.5 Ti0.25 V0.25) As	NiAs	Diluted manganese monarsenide with zero overall chemical pressure	Fjellvag, H.;  Kjekshus, A.;  Zach, R.;  Zieba, A.	Journal of Physics and Chemistry of Solids (1989) 50,  p187-p195
44008	P 63/m m c	(Mn0.819 Ti0.091 V0.091) As	NiAs	Diluted manganese monarsenide with zero overall chemical pressure	Fjellvag, H.;  Kjekshus, A.;  Zach, R.;  Zieba, A.	Journal of Physics and Chemistry of Solids (1989) 50,  p187-p195
44014	P 63/m m c	(Mn0.7 V0.3) As	NiAs	Magnetic structures and properties of V1-t Mnt As	Selte, K.;  Kjekshus, A.;  Valde, G.;  Andresen, A.F.	Acta Chemica Scandinavica, Series A: (28,1974-) (1976) 30, (1) p8-p14
44024	P 63/m m c	(Mo0.2 Ti0.8) As	NiAs	Kristallchemische Untersuchungen an Monophosphiden und -arseniden in den Systemen Ti-(Cr, Mo, W)-(P, As)	Boller, H.;  Nowotny, H.N.	Monatshefte fuer Chemie (1965) 96,  p852-p862
44029	P 63/m m c	Ni As	NiAs	A partial study of the Ni As - Ni Sb system	Hewitt, D.F.	Economic Geology and the Bulletin of the Society of Economic Geologists (1948) 43,  p408-p417
44074	P 63/m m c	Ti As	NiAs	Kristallchemische Untersuchungen an Monophosphiden und -arseniden in den Systemen Ti-(Cr, Mo, W)-(P, As)	Boller, H.;  Nowotny, H.N.	Monatshefte fuer Chemie (1965) 96,  p852-p862
44076	P 63/m m c	(V0.485 Ti0.515) As	NiAs	Structural and magnetic properties of V1-t Tit As	Fjellvag, H.;  Kjekshus, A.	Acta Chemica Scandinavica, Series A: (28,1974-) (1986) 40,  p17-p22
42552	P 63/m m c	Pd Te	NiAs	Constitution and magnetic and electrical properties of palladium tellurides (Pd Te - Pd Te2)	Kjekshus, A.;  Pearson, W.B.	Canadian Journal of Physics (1965) 43,  p438-p449
44481	P 63/m m c	Ir Sb	NiAs	X-ray diffraction study of the structure of Ir Sb	Kuz&#39;min, R.N.	Kristallografiya (1958) 3,  p366-p367
44732	P 63/m m c	Cr (Se0.4 Te0.6)	NiAs	The magnetic properties of the chromium-tellurium-selenium system. I.	Tsubokawa, I.	Journal of the Physical Society of Japan (1956) 11,  p662-p665
44781	P 63/m m c	Li I	NiAs	Zur Struktur duenner, bei tiefer Temperatur kondensierter Salzschichten. I. Alkalihalogenide	Ruehl, W.	Zeitschrift fuer Physik (1956) 143,  p591-p604
